1636460100000,67353.74000000,67563.28000000,67241.90000000,67501.00000000,495.76642000,1636460999999,33416752.27320630,19485,234.42983000,15802710.75951690,0
1636461000000,67501.01000000,67731.86000000,67432.72000000,67681.86000000,384.47845000,1636461899999,25988330.14999310,14868,232.64563000,15726253.86615090,0
1636461900000,67681.87000000,67688.92000000,67461.11000000,67550.01000000,315.10030000,1636462799999,21293421.18360870,11795,102.38991000,6917718.69483620,0
1636462800000,67550.01000000,67895.00000000,67533.20000000,67766.21000000,405.48848000,1636463699999,27464555.18925950,18129,207.54106000,14056340.33027780,0
1636463700000,67766.20000000,67809.64000000,67652.74000000,67716.01000000,260.84400000,1636464599999,17667895.57055420,15347,116.57506000,7895554.98034340,0
1636464600000,67716.01000000,67800.00000000,67580.01000000,67800.00000000,267.15780000,1636465499999,18078015.39739130,16121,131.01178000,8865188.85863440,0
1636465500000,67799.99000000,68116.56000000,67713.06000000,68080.37000000,533.22187000,1636466399999,36198868.39558650,21442,311.97350000,21180477.93625610,0
1636466400000,68080.38000000,68080.38000000,67855.13000000,67893.70000000,433.06277000,1636467299999,29425509.66468470,16601,224.23304000,15235160.18710230,0
1636467300000,67893.71000000,67908.35000000,67717.65000000,67785.24000000,440.26207000,1636468199999,29852561.62495120,17169,198.39824000,13452797.56620180,0
1636468200000,67785.24000000,67995.25000000,67732.26000000,67880.01000000,350.26835000,1636469099999,23765920.17092900,14783,189.59537000,12864364.99139360,0
1636469100000,67880.01000000,67889.33000000,67132.45000000,67333.53000000,1016.85982000,1636469999999,68576102.44125710,31576,421.42203000,28415597.00020240,0
1636470000000,67343.60000000,67343.60000000,66622.40000000,67102.94000000,2129.03000000,1636470899999,142461618.55575930,63494,1102.00294000,73720410.41540310,0
1636470900000,67102.93000000,67526.98000000,66970.24000000,67035.99000000,1384.43152000,1636471799999,93063960.91434030,40966,722.89755000,48614258.98977050,0
1636471800000,67035.99000000,67221.46000000,66779.70000000,66905.00000000,726.16505000,1636472699999,48672237.53242760,29439,371.93368000,24930971.98268200,0
1636472700000,66905.00000000,66995.00000000,66610.00000000,66771.10000000,788.40750000,1636473599999,52644236.64037740,30352,393.26645000,26261426.53066600,0
1636473600000,66771.11000000,66891.58000000,66426.05000000,66543.59000000,909.36152000,1636474499999,60595345.35495760,37850,399.00527000,26593042.70216980,0
1636474500000,66543.59000000,66833.01000000,66422.40000000,66767.85000000,613.23112000,1636475399999,40880883.88148200,29326,319.00165000,21265920.21866640,0
1636475400000,66767.84000000,67006.61000000,66615.83000000,66943.24000000,599.64304000,1636476299999,40047085.31866110,22340,336.11774000,22450675.73421490,0
1636476300000,66943.23000000,66943.24000000,66650.00000000,66693.00000000,376.22163000,1636477199999,25134691.12758800,18807,171.41069000,11450687.23141630,0
1636477200000,66692.99000000,66762.80000000,66222.40000000,66424.29000000,694.17042000,1636478099999,46150183.51187410,30221,273.92666000,18213834.69456840,0
1636478100000,66424.28000000,66600.00000000,66406.47000000,66529.00000000,360.97912000,1636478999999,24016497.90817090,15891,160.31631000,10665729.82051520,0
1636479000000,66529.00000000,66866.85000000,66499.99000000,66857.01000000,276.84805000,1636479899999,18465828.62936250,14210,154.25289000,10288316.52185640,0
1636479900000,66857.01000000,66912.31000000,66722.66000000,66810.21000000,310.43199000,1636480799999,20744273.51955120,13316,114.74037000,7667567.56375620,0
1636480800000,66810.22000000,67238.39000000,66768.81000000,67015.96000000,423.01723000,1636481699999,28348729.64818390,19260,233.07200000,15618390.11340680,0
1636481700000,67015.97000000,67024.91000000,66748.03000000,66799.99000000,291.34893000,1636482599999,19490379.34871180,15549,131.42554000,8792601.26402090,0
1636482600000,66799.99000000,66900.00000000,66716.92000000,66740.00000000,259.48323000,1636483499999,17338193.37024550,14584,127.72210000,8534853.66499790,0
1636483500000,66739.98000000,66754.47000000,66503.58000000,66520.37000000,291.95146000,1636484399999,19452578.65915670,15348,126.67912000,8440806.37376060,0
1636484400000,66520.38000000,66640.89000000,66307.23000000,66354.09000000,420.92862000,1636485299999,27972874.92266980,21965,189.15000000,12570320.91043940,0
1636485300000,66354.10000000,66626.36000000,66350.11000000,66607.48000000,326.52151000,1636486199999,21712503.99133610,17147,165.96855000,11036605.03509460,0
1636486200000,66607.48000000,66617.99000000,66448.97000000,66613.85000000,206.01911000,1636487099999,13707975.13023210,14128,88.47789000,5886344.14128080,0
1636487100000,66613.85000000,66810.74000000,66607.64000000,66800.21000000,260.07282000,1636487999999,17357486.97734490,15808,131.26643000,8759748.67069740,0
1636488000000,66800.21000000,66809.81000000,66681.17000000,66732.16000000,207.77873000,1636488899999,13872813.34565050,10432,74.41643000,4968737.22934540,0
1636488900000,66732.16000000,67100.01000000,66653.00000000,67023.21000000,455.75402000,1636489799999,30485621.32974220,15288,207.39016000,13872248.60612780,0
1636489800000,67023.21000000,67348.99000000,66902.30000000,67314.74000000,700.94240000,1636490699999,47073396.25978000,18838,266.26173000,17868631.79104190,0
1636490700000,67314.74000000,67349.00000000,67105.77000000,67348.99000000,312.65810000,1636491599999,21026577.94872940,12407,148.43873000,9982592.59038600,0
1636491600000,67349.00000000,67476.83000000,67251.83000000,67447.00000000,308.61808000,1636492499999,20790544.91607370,13986,136.60803000,9203127.78303960,0
1636492500000,67447.01000000,67498.95000000,67367.74000000,67389.77000000,327.50874000,1636493399999,22077062.53756020,10002,190.59036000,12847412.03108550,0
1636493400000,67389.77000000,67546.87000000,67355.65000000,67542.36000000,433.96564000,1636494299999,29275160.78827140,11178,243.08180000,16399952.28634140,0
